query,best_match,response,cosine_similarity,rouge1,rouge2,rougeL,response_time
What are the symptoms of Type 1 plasminogen deficiency ?,"What are the signs and symptoms of Type 1 plasminogen deficiency? Type 1 plasminogen deficiency causes reduced levels of functional plasminogen. The rare inflammatory disease mainly affects the mucous membrances in different body sites. Although the symptoms and their severity may vary from person to person, the most common clinical manifestation is ligneous conjunctivitis, characterized by development of fibrin-rich, woodlike ('ligneous') pseudomembranous lesions. Involvement of the cornea may result in blindness. Other, less common manifestations are ligenous gingivitis, otitis media, ligneous bronchitis and pneumonia, involvement of the gastrointestinal or female genital tract, juvenile colloid milium of the skin (condition in which clear papules develop on sun-exposed areas of the skin), and congenital hydrocephalus. Although the condition is known to cause thrombotic events in mice, no reports of venous thrombosis in humans with the condition have been documented.[826] The Human Phenotype Ontology provides the following list of signs and symptoms for Type 1 plasminogen deficiency. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the eye 90% Abnormality of the oral cavity 50% Abnormality of the intestine 7.5% Abnormality of the middle ear 7.5% Abnormality of the respiratory system 7.5% Dandy-Walker malformation 7.5% Hydrocephalus 7.5% Nephrolithiasis 7.5% Polycystic ovaries 7.5% Nephritis 5% Abnormality of metabolism/homeostasis - Abnormality of the cardiovascular system - Abnormality of the ear - Abnormality of the larynx - Abnormality of the skin - Autosomal recessive inheritance - Blindness - Cerebellar hypoplasia - Conjunctivitis - Duodenal ulcer - Gingival overgrowth - Gingivitis - Infantile onset - Macrocephaly - Periodontitis - Recurrent upper respiratory tract infections - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","Type 1 plasminogen deficiency primarily affects mucous membranes, causing inflammation and the formation of woody, fibrinous pseudomembranes.  Symptoms vary in severity, but the most common manifestation is **ligneous conjunctivitis**, which can lead to blindness if corneal involvement occurs.

Other symptoms, listed in approximate order of decreasing frequency, include:

* **Oral Cavity Abnormalities:**  Ligneous gingivitis (inflammation and woody pseudomembranes in the gums), gingival overgrowth, periodontitis.
* **Eye Abnormalities (besides ligneous conjunctivitis):** Blindness.
* **Respiratory System Abnormalities:** Ligneous bronchitis, pneumonia, recurrent upper respiratory tract infections.
* **Gastrointestinal Tract Abnormalities:**  Duodenal ulcers, other unspecified intestinal abnormalities.
* **Middle Ear Abnormalities:** Otitis media.
* **Skin Abnormalities:** Juvenile colloid milium (clear papules on sun-exposed skin).
* **Genitourinary Tract Abnormalities:**  Involvement of the female genital tract, nephrolithiasis (kidney stones), polycystic ovaries, nephritis.
* **Neurological Abnormalities:** Hydrocephalus (fluid buildup in the brain), Dandy-Walker malformation (brain malformation affecting the cerebellum), cerebellar hypoplasia (underdeveloped cerebellum), macrocephaly (abnormally large head).
* **Metabolic/Homeostatic Abnormalities:** Unspecified.
* **Cardiovascular System Abnormalities:** Unspecified.
* **Ear Abnormalities (besides middle ear):** Unspecified.
* **Laryngeal Abnormalities:** Unspecified.


It's important to note that while thrombotic events have been observed in mice with plasminogen deficiency, they haven't been documented in humans with the condition.  Also, the frequencies provided are estimates based on available data and may not reflect the full spectrum of the disease.

The information provided here is based on the provided context, which references the Human Phenotype Ontology (HPO) and Orphanet.  For a definitive diagnosis and personalized medical advice, consultation with a medical professional is essential.",0.82,0.4209,0.1426,0.1887,12.0889
"What are the symptoms of Epidermolysis bullosa simplex, Dowling-Meara type ?","What are the signs and symptoms of Epidermolysis bullosa simplex, Dowling-Meara type? The Human Phenotype Ontology provides the following list of signs and symptoms for Epidermolysis bullosa simplex, Dowling-Meara type. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal blistering of the skin 90% Abnormality of the fingernails 90% Subcutaneous hemorrhage 90% Palmoplantar keratoderma 50% Skin ulcer 50% Abnormality of skin pigmentation 7.5% Abnormality of the oral cavity 7.5% Constipation 7.5% Feeding difficulties in infancy 7.5% Neoplasm of the skin 7.5% Atrophic scars 5% Autosomal dominant inheritance - Growth delay - Milia - Nail dysplasia - Nail dystrophy - Neonatal onset - Palmoplantar hyperkeratosis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","Epidermolysis Bullosa Simplex, Dowling-Meara type (EBS-DM) is characterized by generalized blistering, predominantly affecting the hands and feet, that starts at birth or shortly thereafter.  Here's a breakdown of the symptoms, incorporating the provided information and expanding on it:

**Major Symptoms (frequently observed):**

* **Abnormal blistering of the skin (90%):** This is the hallmark symptom of all EBS subtypes. In EBS-DM, blisters are often clustered and tend to be more severe on the palms and soles (palmoplantar involvement). They can also occur on other areas of the body.  The blisters are intraepidermal, meaning they form within the outermost layer of skin (the epidermis).
* **Abnormality of the fingernails (90%):**  Nail dystrophy and dysplasia are common. Nails may be thickened, discolored, ridged, or prone to shedding.
* **Subcutaneous hemorrhage (90%):**  Bleeding beneath the skin, often appearing as small red or purple spots (petechiae) or larger bruises, can occur within or around the blisters.

**Moderate Symptoms (less frequent but still significant):**

* **Palmoplantar keratoderma/hyperkeratosis (50%):** Thickening of the skin on the palms of the hands and soles of the feet. This can range from mild to severe and may contribute to painful walking.
* **Skin ulcers (50%):**  Open sores that develop from ruptured blisters, particularly in areas subject to friction or pressure. These ulcers can be painful and are susceptible to infection.

**Less Common Symptoms:**

* **Abnormality of skin pigmentation (7.5%):** Changes in skin color, such as hyperpigmentation (darkening) or hypopigmentation (lightening), can occur at sites of healed blisters.
* **Abnormality of the oral cavity (7.5%):** Blistering can sometimes affect the mucous membranes of the mouth, causing pain and difficulty eating.
* **Constipation (7.5%):** While not a direct skin manifestation, constipation can occur, possibly related to pain and discomfort associated with blistering, or potentially due to dietary restrictions.
* **Feeding difficulties in infancy (7.5%):** Oral blistering can make sucking and swallowing painful for infants, leading to feeding problems.
* **Neoplasm of the skin (7.5%):**  A small increased risk of skin cancer, particularly squamous cell carcinoma, has been reported in some individuals with EBS, though this is less common in EBS-DM compared to other subtypes like EBS-Kindler syndrome.

**Other Features (frequency not specified):**

* **Atrophic scars (5%):** Thin, depressed scars that can develop after blisters heal.
* **Autosomal dominant inheritance:** This means that only one copy of the mutated gene is needed to cause the condition.  It is often inherited from a parent who also has EBS-DM.
* **Growth delay:** Though not always present, some children with EBS-DM may experience slower growth than expected.
* **Milia:** Tiny white cysts that can appear on the skin, particularly in newborns.
* **Neonatal onset:** Symptoms typically appear at birth or shortly thereafter.


It's important to note that the severity and combination of symptoms can vary widely, even within families with the same genetic mutation.  A definitive diagnosis requires genetic testing to identify the specific mutation in the *KRT5* or *KRT14* genes, which encode keratin proteins essential for skin integrity.

This information should not be considered medical advice.  If you suspect you or someone you know may have EBS-DM, it is crucial to consult with a dermatologist or geneticist for proper diagnosis and management.",0.8176,0.4272,0.129,0.2136,19.2005
What is (are) acral peeling skin syndrome ?,"Acral peeling skin syndrome is a skin disorder characterized by painless peeling of the top layer of skin. The term ""acral"" refers to the fact that the skin peeling in this condition is most apparent on the hands and feet. Occasionally, peeling also occurs on the arms and legs. The peeling is usually evident from birth, although the condition can also begin in childhood or later in life. Skin peeling is made worse by exposure to heat, humidity and other forms of moisture, and friction. The underlying skin may be temporarily red and itchy, but it typically heals without scarring. Acral peeling skin syndrome is not associated with any other health problems.","Acral peeling skin syndrome (APSS) is a rare, genodermatosis (genetically inherited skin disorder) characterized by painless, superficial peeling of the skin, primarily affecting the hands and feet (acral areas).  While your provided context is largely accurate, some clarifications and additions are important:

* **Types of APSS:**  There are several subtypes of APSS, differentiated by their genetic cause and sometimes by subtle variations in clinical presentation. These include:
    * **APSS type A:**  Caused by mutations in the *TGM5* gene, encoding transglutaminase 5. This is the most common type.
    * **APSS type B:** Caused by mutations in the *SERPINB7* gene, encoding a serine protease inhibitor.
    * **APSS type C:**  Linked to mutations in the *CYP4F22* gene, which plays a role in lipid metabolism.  This type is sometimes referred to as ""peeling skin syndrome, generalized"" as the peeling can be more widespread.
    * **APSS type D:** Caused by mutations in the *PNPLA1* gene.

* **Onset:** While APSS often presents at birth or in early childhood, some forms may manifest later in life.

* **Symptoms:** The hallmark symptom is painless peeling of the stratum corneum (outermost skin layer).  Erythema (redness) and pruritus (itching) can occur, particularly after exposure to friction, moisture, or heat, but are usually transient.  Scarring is generally absent.  The severity of peeling can vary.

* **Associated Health Problems:** While APSS itself is not typically associated with serious systemic health problems, some subtypes, particularly APSS type C, may have associated features like atopic dermatitis or other skin conditions.  It's important to get a proper diagnosis to determine the specific subtype and rule out other peeling skin disorders.

* **Treatment:** There is no specific cure for APSS. Management focuses on minimizing triggers and alleviating symptoms.  Emollients and moisturizers are often recommended to keep the skin hydrated.  Topical corticosteroids may be used for short periods to manage inflammation and itching.  Avoiding excessive friction, heat, and moisture can help reduce peeling episodes.

**Sources:**

* Fine JD, et al. (2014). Inherited epidermolysis bullosa and other blistering disorders. In: Fitzpatrick's Dermatology in General Medicine (8th ed.). McGraw-Hill.
* Sprecher E, et al. (2001).  Generalized peeling skin syndrome caused by mutations in the serine protease inhibitor, Kazal-type 5 (SPINK5) gene.  Nature Genetics, 29(2), 124-126.
* Huber M, et al. (2015). Mutations in CYP4F22 cause recessive congenital ichthyosis and generalized peeling skin syndrome.  American Journal of Human Genetics, 97(4), 599-606.


It's crucial to consult with a dermatologist or geneticist for accurate diagnosis and personalized management of APSS.  This information is for educational purposes only and should not be considered medical advice.",0.8363,0.3089,0.0983,0.1808,16.0712
What are the symptoms of Chromosome 4q deletion ?,"What are the signs and symptoms of chromosome 4q deletion? The signs and symptoms of chromosome 4q deletion vary significantly depending on the size and location of the deletion and which genes are involved. Common features that may be shared by affected people include: Distinctive craniofacial features such as a depressed nasal bridge, cleft lip/palate, and micrognathia Skeletal abnormalities including hip dysplasia and malformations of the fingers, toes, or limbs (arms/legs) Heart defects and/or arrhythmias Hypotonia (reduced muscle tone) Seizures Short stature Developmental delay Intellectual disability Metabolic disorders Gastrointestinal problems Kidney abnormalities","The symptoms of Chromosome 4q deletion syndrome are highly variable, depending on the specific portion of the long arm (q) of chromosome 4 that is deleted.  Larger deletions tend to result in more severe symptoms.  The provided context accurately lists many common features.  To organize and clarify, the symptoms can be grouped into the following categories:

**Craniofacial Features:**

* **Depressed nasal bridge:**  A flattened appearance of the bridge of the nose.
* **Cleft lip/palate:**  A split in the lip and/or roof of the mouth.
* **Micrognathia:**  A small lower jaw.

**Skeletal Abnormalities:**

* **Hip dysplasia:**  Abnormal development of the hip joint.
* **Limb malformations:**  Malformations of the fingers, toes, arms, and/or legs.

**Neurological Issues:**

* **Hypotonia:** Reduced muscle tone.
* **Seizures:** Uncontrolled electrical activity in the brain.
* **Developmental delay:**  Delayed achievement of developmental milestones.
* **Intellectual disability:**  Impaired cognitive function.

**Other Organ System Involvement:**

* **Heart defects/arrhythmias:**  Problems with the structure or rhythm of the heart.
* **Metabolic disorders:**  Problems with the body's chemical processes.
* **Gastrointestinal problems:**  Issues with the digestive system.
* **Kidney abnormalities:**  Structural or functional problems with the kidneys.
* **Short stature:**  Significantly below average height.

**Important Considerations:**

* **Variability:** Not all individuals with 4q deletion will have all of these symptoms. Some may have only a few mild features, while others may have multiple severe symptoms.
* **Diagnosis:**  Genetic testing is required to confirm a diagnosis of 4q deletion syndrome.
* **Management:** Treatment is focused on managing the specific symptoms present in each individual.  This may involve a multidisciplinary approach with specialists from various medical fields.


While the provided context is a good starting point, further research in reputable medical databases like PubMed and OMIM (Online Mendelian Inheritance in Man) can provide more detailed information about specific genes involved and the latest research on 4q deletion syndrome.  Consulting with a clinical geneticist is crucial for accurate diagnosis, genetic counseling, and management of this complex condition.",0.8444,0.3762,0.1642,0.2525,12.2522
What is (are) Best vitelliform macular dystrophy ?,"Best vitelliform macular dystrophy (BVMD) is a slowly progressive form of macular degeneration. It usually begins in childhood or adolescence, but age of onset and severity of vision loss can vary. Affected people first have normal vision, followed by decreased central visual acuity and distorted vision (metamorphopsia). Peripheral vision is not affected. BVMD is usually inherited in an autosomal dominant manner, but autosomal recessive inheritance has been reported. The condition is typically caused by mutations in the BEST1 gene; in a few cases the cause is unknown. Treatment is symptomatic and involves the use of low vision aids.","Best vitelliform macular dystrophy (BVMD), also known as Best disease, is a single, specific inherited eye disease characterized by the abnormal accumulation of lipofuscin-like material (called vitelliform material) in the macula, the central part of the retina responsible for sharp, detailed vision.  It's important to note that while the prompt mentions ""Best vitelliform macular dystrophies"" in the plural, there is only *one* recognized condition called Best vitelliform macular dystrophy.

Here's a breakdown of key features:

* **Inheritance:** Primarily autosomal dominant (meaning only one copy of the mutated gene is needed to cause the disease), though rare autosomal recessive cases exist.  This means if a parent has BVMD, there's a 50% chance their child will inherit it.
* **Genetic Cause:** Most commonly caused by mutations in the *BEST1* gene, which codes for a protein called bestrophin-1.  This protein's function isn't fully understood, but it's thought to play a role in ion transport in retinal pigment epithelial (RPE) cells.  The RPE is a layer of cells supporting the photoreceptors in the retina.
* **Progression:**  BVMD typically progresses through distinct stages, often described as:
    * **Previtelliform:**  Normal vision, but subtle abnormalities may be detectable with electrooculography (EOG), a test measuring the electrical potential of the eye.
    * **Vitelliform:**  Accumulation of yellowish material resembling an egg yolk (vitelliform) in the macula. Vision may still be relatively good at this stage.
    * **Pseudohypopyon:**  The vitelliform material may shift within the subretinal space, resembling a hypopyon (accumulation of pus) seen in other eye conditions.
    * **Scrambled Egg:**  The vitelliform material breaks up into smaller pieces.
    * **Atrophic:**  Eventually, the RPE and photoreceptors can atrophy (degenerate), leading to more significant vision loss.

* **Symptoms:**
    * Decreased central visual acuity (blurry vision)
    * Metamorphopsia (distorted vision, straight lines appearing wavy)
    * Scotomas (blind spots in the visual field)
    * Reduced color vision

* **Diagnosis:**  Diagnosis involves a comprehensive eye exam, including:
    * Fundus examination (viewing the back of the eye)
    * Fluorescein angiography (imaging of the retinal blood vessels)
    * Electrooculography (EOG)
    * Genetic testing

* **Treatment:** Currently, there is no cure for BVMD. Treatment is primarily supportive and focuses on managing symptoms and maximizing remaining vision. This may include:
    * Low vision aids (magnifiers, telescopes)
    * Occupational therapy to adapt to vision loss


While the prompt mentions low vision aids as the only treatment, ongoing research is exploring potential future therapies, including gene therapy and pharmacological interventions.  It's important for individuals diagnosed with BVMD to be followed regularly by an ophthalmologist specializing in retinal diseases.


Sources:

*  American Academy of Ophthalmology:  [https://www.aao.org/eye-health/diseases/best-disease](https://www.aao.org/eye-health/diseases/best-disease)
*  National Eye Institute (NEI): [https://www.nei.nih.gov/](https://www.nei.nih.gov/) (Search for ""Best disease"")
*  GeneReviews:  [https://www.ncbi.nlm.nih.gov/books/NBK1440/](https://www.ncbi.nlm.nih.gov/books/NBK1440/)",0.8386,0.2491,0.0821,0.1281,17.3903
What is (are) Ankle Injuries and Disorders ?,"Your ankle bone and the ends of your two lower leg bones make up the ankle joint. Your ligaments, which connect bones to one another, stabilize and support it. Your muscles and tendons move it.    The most common ankle problems are sprains and fractures. A sprain is an injury to the ligaments. It may take a few weeks to many months to heal completely. A fracture is a break in a bone. You can also injure other parts of the ankle such as tendons, which join muscles to bone, and cartilage, which cushions your joints. Ankle sprains and fractures are common sports injuries.","Ankle injuries and disorders encompass a range of conditions affecting the structures of the ankle joint.  As the provided context explains, the ankle joint is comprised of:

* **Bones:** The distal ends of the tibia (shinbone) and fibula (smaller lower leg bone) form a socket around the talus (ankle bone).
* **Ligaments:** Tough, fibrous bands connecting bones to provide stability.  The most commonly injured are the lateral ligaments on the outside of the ankle.
* **Tendons:** Connect muscles to bones, facilitating movement. The Achilles tendon, which attaches the calf muscles to the heel bone, is a key ankle tendon.
* **Cartilage:**  A smooth, protective tissue covering the bone ends within the joint, allowing for smooth movement and shock absorption.

**Common Ankle Injuries and Disorders:**

* **Sprains:** Injuries to the ligaments, typically caused by overstretching or tearing.  Severity ranges from mild stretching to complete rupture.  Lateral ankle sprains (involving the ligaments on the outside of the ankle) are most common.
* **Fractures:** Breaks in one or more of the bones forming the ankle joint.  Fractures can range from small avulsion fractures (where a ligament pulls off a piece of bone) to complex, displaced fractures.
* **Tendonitis:** Inflammation of a tendon, often caused by overuse or repetitive strain. Achilles tendonitis is a frequent ankle tendonitis.
* **Tendon Ruptures:**  A complete tear of a tendon.  Achilles tendon rupture is a serious injury requiring medical intervention.
* **Cartilage Injuries:** Damage to the articular cartilage within the ankle joint. This can occur from acute trauma or gradually through degenerative processes like osteoarthritis.
* **Osteoarthritis:** A degenerative joint disease characterized by the breakdown of cartilage, leading to pain, stiffness, and reduced range of motion.
* **Instability:** Chronic ankle instability can develop after repeated sprains, leading to a feeling of the ankle ""giving way.""
* **Impingement Syndromes:**  Painful conditions caused by tissues being pinched or compressed within the ankle joint.  Anterior (front) and posterior (back) impingement are common types.
* **Nerve Compression:** Nerves around the ankle can become compressed or entrapped, causing pain, numbness, and tingling. Tarsal tunnel syndrome is an example.

This list is not exhaustive, but it covers many of the common ankle injuries and disorders.  Accurate diagnosis and treatment require medical evaluation by a qualified healthcare professional.",0.7247,0.2808,0.0781,0.1641,12.5355
What is (are) Paget's Disease of Bone ?,"Enlarged and Misshapen Bones Paget's disease of bone causes affected bones to become enlarged and misshapen. Our bones are living tissue, and our bodies are constantly breaking down old bone and replacing it with new bone. In Paget's disease, however, old bone is broken down and replaced at a faster rate than normal. The new bone is larger and weaker than normal bone. Paget's disease can occur in any bone in the body, but it is most common in the pelvis, spine, skull, and leg bones. It may occur in just one bone or in several bones, but it does not affect the entire skeleton or spread from affected bones to normal bones. Common symptoms include pain, misshapen bones, and a greater chance of broken bones. Complications Paget's disease can also lead to complications, such as arthritis, headaches, hearing loss, or nervous system problems, depending on which bones are affected. If not treated, Paget's disease can reduce a person's ability to perform activities of daily living, thereby reducing quality of life. Although it is the second most common bone disease after osteoporosis, Paget's disease is still uncommon. According to Bone Health and Osteoporosis: A Report of the Surgeon General, an estimated 1 million people in the U.S. have Paget's disease, or about 1.3 people per 100 men and women age 45-74. The disease is more common in older people and those of Northern European heritage. Men are more likely than women to have the disease. Cause is Unknown Paget's disease is named after the British surgeon, Sir James Paget, who first identified the disease in 1877. Researchers are not sure what causes it. Heredity may be a factor in some cases. Research suggests that a close relative of someone with Paget's disease is seven times more likely to develop the disease than someone without an affected relative. However, most people with Paget's disease do not have any relatives with the disease. Researchers think the disease also may be caused by other factors, such as a slow-acting virus. A Treatable Disease The good news is that Paget's disease of bone is treatable, especially if it is diagnosed early. In recent years, the Food and Drug Administration has approved several medications that can stop or slow the disease's progression. In some cases, surgery can help patients manage the symptoms and complications of the disease.","Paget's disease of bone is a chronic metabolic bone disorder characterized by accelerated bone remodeling.  This process, where old bone is broken down and replaced with new bone, occurs at an abnormally high rate in Paget's disease. The newly formed bone is structurally disorganized, larger, weaker, and more vascular than normal bone, leading to various complications.

While the exact cause of Paget's disease remains unknown, several factors are suspected:

* **Genetic Predisposition:**  A family history of Paget's disease significantly increases the risk, suggesting a genetic component.  While specific genes have been identified, not everyone with these genes develops the disease.
* **Viral Infection:** Some research suggests a link between certain viral infections (e.g., paramyxoviruses) and the development of Paget's disease, although this remains a topic of ongoing investigation.
* **Environmental Factors:**  Other potential contributing factors are being explored, but none have been definitively established.

Paget's disease can affect any bone but is most commonly found in the pelvis, spine, skull, and long bones of the legs. It can affect one or multiple bones but does *not* spread from affected bones to healthy bones.  The disease is not systemic, meaning it doesn't affect the entire skeleton.

Common symptoms include:

* **Bone pain:** This is often the most prominent symptom.
* **Bone deformity:**  Affected bones can become enlarged and misshapen.
* **Increased risk of fractures:** Due to the weakened bone structure.
* **Other symptoms:** Depending on the location of the affected bones, complications such as arthritis, headaches, hearing loss, and nerve compression can occur.

Although the provided text mentions it being the second most common bone disease after osteoporosis, this is debated. Osteoarthritis is generally considered the second most common.  Regardless, Paget's disease is relatively uncommon, affecting approximately 1 million people in the U.S., primarily older adults and those of Northern European descent.  Men are slightly more affected than women.

Importantly, Paget's disease is treatable.  Several medications are available that can effectively slow or stop the progression of the disease.  In some cases, surgery may be necessary to manage complications. Early diagnosis and treatment are crucial for preventing long-term complications and maintaining quality of life.",0.8128,0.5893,0.2693,0.3181,11.5714
How many people are affected by desmosterolosis ?,The prevalence of desmosterolosis is unknown; at least 10 affected individuals have been described in the scientific literature.,"Desmosterolosis is an extremely rare disorder. While the exact prevalence is unknown, the medical literature describes at least 10 reported cases. This suggests that the actual number of affected individuals, while likely higher than the reported cases, is still very small.  It is important to remember that the lack of reported cases does not necessarily equate to non-existence, especially with rare genetic disorders where diagnosis can be challenging.",0.7132,0.2989,0.1176,0.2299,4.0667
What is (are) 17-beta hydroxysteroid dehydrogenase 3 deficiency ?,"17-beta hydroxysteroid dehydrogenase 3 deficiencyis an inherited condition that affects male sexual development. People with this condition are genetically male and have testes, but do not produce enough testosterone. Most people with this condition are born with external genitalia that appear female. In some cases, the external genitalia are ambiguous or appear male but are abnormal in size and/or appearance. During puberty, people with this condition typically go on to develop male secondary sex characteristics, such as increased muscle mass, deepening of the voice, and development of male pattern body hair. 17-beta hydroxysteroid dehydrogenase 3 deficiency is caused by mutations in the HSD17B3 gene and is inherited in an autosomal recessive pattern.","17-Beta-hydroxysteroid dehydrogenase 3 (17β-HSD3) deficiency is a rare, autosomal recessive genetic disorder of sex development (DSD) affecting individuals with a 46,XY (typically male) karyotype.  It disrupts the biosynthesis of testosterone in the testes.  While these individuals have testes and are genetically male, the deficiency in testosterone production leads to undervirilization of the external genitalia during fetal development.

Here's a breakdown of the key features:

* **Genetic Basis:**  Caused by mutations in the *HSD17B3* gene located on chromosome 9q22. This gene encodes the 17β-HSD3 enzyme, which is crucial for the final step in testosterone biosynthesis within the testes.  Specifically, it catalyzes the conversion of androstenedione to testosterone.

* **Hormonal Impact:**  The deficiency in 17β-HSD3 leads to a reduced ability to produce testosterone.  While other androgens like androstenedione may be elevated, they are less potent than testosterone in driving male sexual development.

* **Clinical Presentation:**
    * **At birth:**  Most affected individuals are born with female-appearing external genitalia. Some may have ambiguous genitalia, while others may have male-appearing genitalia that are underdeveloped or abnormal.
    * **Puberty:**  Despite the lack of testosterone during early development,  the increased production of androstenedione at puberty can be peripherally converted to testosterone in other tissues. This often leads to the development of male secondary sexual characteristics, including increased muscle mass, deepening of the voice, growth of the phallus, and male-pattern hair growth.  Breast development is typically absent or minimal.
    * **Fertility:**  Affected individuals are typically infertile.

* **Inheritance:**  Inherited in an autosomal recessive manner. This means that both parents must carry a mutated copy of the *HSD17B3* gene for their child to be affected.  If both parents are carriers, there is a 25% chance with each pregnancy that the child will have the condition.

* **Diagnosis:**
    * Clinical examination
    * Hormone testing (elevated androstenedione and low testosterone levels)
    * Genetic testing to identify mutations in the *HSD17B3* gene

* **Management:**  Management options often involve hormone replacement therapy (HRT) with testosterone to induce and maintain virilization, particularly if the individual identifies as male.  Surgical interventions may be considered to correct the appearance of the external genitalia.  Psychological support is also crucial, given the potential impact on gender identity and psychosocial development.


It is important to note that the information provided here is for general educational purposes only and does not constitute medical advice.  A proper diagnosis and management plan should be determined by a qualified medical professional specializing in DSDs.",0.599,0.3424,0.1406,0.1984,13.7001
What is (are) Amyotrophic lateral sclerosis ?,"Amyotrophic lateral sclerosis (ALS) is a nervous system disease that attacks nerve cells called neurons in your brain and spinal cord. These neurons transmit messages from your brain and spinal cord to your voluntary muscles - the ones you can control, like in your arms and legs. At first, this causes mild muscle problems. Some people notice       -  Trouble walking or running     -  Trouble writing     -  Speech problems       Eventually, you lose your strength and cannot move. When muscles in your chest fail, you cannot breathe. A breathing machine can help, but most people with ALS die from respiratory failure.     The disease usually strikes between age 40 and 60. More men than women get it. No one knows what causes ALS. It can run in families, but usually it strikes at random. There is no cure. Medicines can relieve symptoms and, sometimes, prolong survival.     NIH: National Institute of Neurological Disorders and Stroke","Amyotrophic Lateral Sclerosis (ALS), also known as Lou Gehrig's disease, is a progressive neurodegenerative disease affecting nerve cells in the brain and spinal cord that control voluntary muscle movement.  

Specifically, ALS targets motor neurons. These neurons transmit signals from the brain to the muscles, enabling movement. As motor neurons degenerate and die in ALS, the brain loses its ability to initiate and control muscle movement.  This leads to a gradual weakening and atrophy of muscles, impacting essential functions like walking, speaking, swallowing, and eventually, breathing.

While the provided context accurately describes the progression and typical symptoms of ALS, it's important to add some further details:

* **Types of ALS:**  ALS is broadly classified into sporadic ALS (most common, no known family history) and familial ALS (inherited, accounting for about 5-10% of cases).
* **Early Symptoms:** Early symptoms can be subtle and vary among individuals.  They may include muscle twitching (fasciculations), cramping, stiffness, weakness in a limb, slurred speech, or difficulty swallowing.
* **Diagnosis:**  Diagnosing ALS involves a combination of neurological examinations, electromyography (EMG), nerve conduction studies, and magnetic resonance imaging (MRI) to rule out other conditions.
* **Treatment:** While there is no cure for ALS, treatments focus on managing symptoms, slowing disease progression, and improving quality of life.  Riluzole and edaravone are FDA-approved medications that may modestly extend survival.  Supportive care, including physical therapy, occupational therapy, speech therapy, respiratory support, and nutritional assistance, is crucial.
* **Prognosis:**  The prognosis for ALS is generally poor, with most people living 2-5 years after diagnosis. However, some individuals live much longer.

**Further Information:**  For more detailed information on ALS, please consult the following resources:

* **The ALS Association:**  [www.alsa.org](www.alsa.org)
* **National Institute of Neurological Disorders and Stroke (NINDS):** [www.ninds.nih.gov](www.ninds.nih.gov)
* **Centers for Disease Control and Prevention (CDC):** [www.cdc.gov](www.cdc.gov)


It's important to remember that this information is for educational purposes and does not constitute medical advice.  If you have concerns about ALS or any other health issue, please consult with a qualified healthcare professional.",0.6896,0.2967,0.0898,0.1951,10.8329
