Drug,Indications,Side Effects,Drug Interactions,Dosage
Acuvail,['Treatment of pain and inflammation after cataract surgery'],"['Eye pain', 'Foreign body sensation', 'Photophobia (light sensitivity)', 'Blurred vision', 'Headache', 'Increased intraocular pressure (IOP)', 'Conjunctival hyperemia (redness)', 'Delayed wound healing', 'Anterior chamber inflammation', 'Corneal edema (swelling)', 'Iritis', 'Conjunctivitis', 'Rarely: corneal melt, corneal perforation']","[""While specific drug interactions for Acuvail (ketorolac tromethamine ophthalmic solution) are not extensively documented, it's important to inform your doctor about all other medications you are using, including other eye drops.  Concomitant use of topical NSAIDs may increase the risk of corneal adverse events.  Use with caution in patients on anticoagulants or antiplatelets due to the potential increased risk of bleeding.  As with other NSAIDs, Acuvail may theoretically interact with certain medications like ACE inhibitors, beta-blockers, and diuretics, potentially affecting blood pressure control.""]","One drop in the affected eye(s) twice daily beginning 1 day prior to cataract surgery, continued on the day of surgery, and through the first 2 weeks of the postoperative period."
Acyclovir,"['Treatment of initial and recurrent mucosal and cutaneous Herpes Simplex Virus (HSV-1 and HSV-2) infections in immunocompetent and immunocompromised patients.', 'Treatment of varicella-zoster virus (VZV) infections (chickenpox and shingles).', 'Prophylaxis of HSV infections in immunocompromised patients.', 'Treatment of herpes simplex encephalitis.', 'Treatment of neonatal herpes simplex virus infections.']","['Nausea', 'Vomiting', 'Diarrhea', 'Headache', 'Dizziness', 'Fatigue', 'Injection site reactions (pain, swelling, inflammation)', 'Elevated liver enzymes', 'Acute renal failure (rare)', 'Neurological effects (tremors, hallucinations, seizures) - more common with high doses or in patients with renal impairment', 'Rash', 'Itching']","['Probenecid: Increases acyclovir blood levels by decreasing renal clearance.', 'Zidovudine: May cause increased neurotoxicity (lethargy, somnolence).', 'Nephrotoxic drugs (e.g., aminoglycosides, amphotericin B): Increased risk of renal toxicity.', 'Immunosuppressants (e.g., cyclosporine, tacrolimus): Increased risk of nephrotoxicity.']","[{'Indication': 'Genital herpes (initial episode)', 'Dosage': '200 mg orally five times daily for 7-10 days'}, {'Indication': 'Genital herpes (recurrent episodes)', 'Dosage': '200 mg orally five times daily for 5 days, 400 mg orally three times daily for 5 days, or 800 mg orally twice daily for 5 days'}, {'Indication': 'Chickenpox', 'Dosage': '800 mg orally five times daily for 7 days'}, {'Indication': 'Shingles', 'Dosage': '800 mg orally five times daily for 7-10 days'}, {'Indication': 'Herpes simplex encephalitis', 'Dosage': '10 mg/kg intravenously every 8 hours for 10 days'}, {'Indication': 'Suppression of recurrent genital herpes', 'Dosage': '400 mg orally twice daily'}, {'Indication': 'Suppression in immunocompromised patients', 'Dosage': ""Variable, depending on the patient's condition and immune status""}]"
Acyclovir Buccal mucosa,Acyclovir buccal tablets (Sitavig) are indicated for the treatment of recurrent herpes labialis (cold sores) in immunocompetent adults.  It is important to note that this formulation is specifically for buccal application and not for other forms of herpes infections like genital herpes or herpes zoster (shingles).,"Common side effects of acyclovir buccal tablets can include: 

* Headache
* Application site pain, swelling, or discomfort
* Nausea
* Vomiting
* Dizziness
* Oral pain or discomfort
* Taste perversion
* Less common side effects may include allergic reactions, such as skin rash, itching, or difficulty breathing.","While acyclovir buccal tablets have limited systemic absorption, potential drug interactions are still possible, although generally minimal.  It is important to inform your doctor about all other medications you are taking, including prescription and over-the-counter drugs, as well as supplements.  Specifically, mention if you are taking probenecid, as it can affect the elimination of acyclovir.  Although interactions are less likely with the buccal formulation compared to oral or IV acyclovir, it's always best to err on the side of caution.","The typical dosage for Sitavig (acyclovir buccal tablet) is a single 50 mg tablet applied to the upper gum region, generally above the incisor tooth, and held in place until it dissolves.  It should be applied at the earliest sign or symptom of recurrence (e.g., tingling, itching, burning).  Only one tablet should be used per episode. Do not cut, crush, or chew the tablet. It is important to follow your doctor's instructions and the information provided on the medication label."
Acyclovir Buccal Tablets,Acyclovir buccal tablets are indicated for the treatment of recurrent herpes labialis (cold sores) in immunocompetent adults and adolescents 12 years of age and older.,"['Common side effects include:', '- Headache', '- Local reactions at the application site (e.g., pain, swelling, inflammation, ulceration)', '- Nausea', '- Vomiting', 'Less common but potentially serious side effects:', '- Allergic reactions (e.g., skin rash, itching, hives, swelling of the face, lips, tongue, or throat, difficulty breathing or swallowing)', '-  Dizziness', '-  Confusion', '-  Hallucinations', '-  Tremors', '-  Seizures']","['Probenecid can increase acyclovir blood levels. Close monitoring is needed if these drugs are used together.', 'Other nephrotoxic drugs may increase the risk of kidney problems when used with acyclovir.', 'Although considered minor,  interactions may occur with:', '- Zidovudine', '- Interferon', '- Theophylline', '- Mycophenolate mofetil']","The recommended dosage for acyclovir buccal tablets for recurrent herpes labialis is 200 mg five times daily (approximately every 3 hours while awake) for 4 days. Treatment should be initiated at the earliest sign or symptom (e.g., tingling, itching, or burning) of recurrence."
Acyclovir Capsules,"['Treatment of initial and recurrent mucosal and cutaneous Herpes Simplex Virus (HSV-1 and HSV-2) infections in immunocompromised adults and children.', 'Treatment of varicella-zoster virus infections (chickenpox) in immunocompromised adults and children.', 'Treatment of acute herpes zoster (shingles) in immunocompromised adults and children.', 'Prophylaxis of HSV infections in immunocompromised patients.', 'Treatment of initial and recurrent genital herpes in immunocompetent adults.', 'Treatment of herpes labialis (cold sores) in immunocompetent adults.']","['Nausea', 'Vomiting', 'Diarrhea', 'Headache', 'Dizziness', 'Fatigue', 'Skin rash', 'Hair loss', 'Increased liver enzymes', 'Elevated creatinine', 'Hematuria', 'Crystalluria (with high doses of IV acyclovir)', 'Neurotoxicity (with high doses of IV acyclovir, especially in patients with renal impairment), including agitation, hallucinations, confusion, tremors, and seizures.']","['Probenecid:  May increase acyclovir blood levels.', 'Zidovudine: May cause increased drowsiness and lethargy when used concurrently with acyclovir.', 'Mycophenolate mofetil: May decrease the effectiveness of mycophenolate mofetil.', 'Nephrotoxic drugs: Concurrent use with other nephrotoxic drugs may increase the risk of renal dysfunction.']","[{'Indication': 'Treatment of genital herpes (initial episode)', 'Dosage': '200 mg orally five times a day for 7-10 days'}, {'Indication': 'Treatment of recurrent genital herpes', 'Dosage': '200 mg orally five times a day for 5 days, 400 mg orally three times a day for 5 days, or 800 mg orally twice a day for 5 days'}, {'Indication': 'Suppression of recurrent genital herpes', 'Dosage': '400 mg orally twice a day'}, {'Indication': 'Treatment of herpes zoster', 'Dosage': '800 mg orally five times a day for 7-10 days'}, {'Indication': 'Treatment of chickenpox', 'Dosage': '800 mg orally four times a day for 5 days'}, {'Indication': 'Herpes simplex in immunocompromised patients', 'Dosage': '400 mg orally five times daily'}, {'Indication': 'Varicella-zoster in immunocompromised patients', 'Dosage': '800 mg orally five times daily'}, {'Indication': 'Herpes simplex encephalitis', 'Dosage': '10 mg/kg IV every 8 hours for 10 days (IV formulation)'}]"
Acyclovir Capsules and Tablets,"['Treatment of initial and recurrent mucosal and cutaneous Herpes Simplex Virus (HSV-1 and HSV-2) infections in immunocompromised and immunocompetent patients.', 'Treatment of initial and recurrent genital herpes.', 'Suppression (prevention of recurrences) of recurrent genital herpes infections in immunocompetent and immunocompromised patients.', 'Treatment of varicella zoster virus infections (chickenpox) in immunocompetent patients.', 'Treatment of herpes zoster (shingles) infections in immunocompetent patients.']","['Common side effects:', {'list_items': ['Nausea', 'Vomiting', 'Diarrhea', 'Headache', 'Dizziness', 'Fatigue', 'Skin rash', 'Hair loss']}, 'Serious side effects (rare):', {'list_items': ['Kidney problems (acute renal failure)', 'Neurological problems (seizures, tremors, hallucinations)', 'Hemolytic uremic syndrome (a blood disorder)', 'Thrombotic thrombocytopenic purpura (a blood clotting disorder)']}, 'Note: This is not an exhaustive list of all possible side effects.  Consult with a healthcare professional for any concerns.']","['Probenecid: Can increase acyclovir blood levels.', 'Zidovudine: May cause increased drowsiness and lethargy.', 'Other nephrotoxic drugs: May increase the risk of kidney damage.', 'Immunosuppressants: May increase the risk of certain side effects.']","['Dosage varies depending on the indication and patient factors (e.g., age, renal function, immune status).', 'Examples:', {'list_items': ['Genital herpes (initial episode): 200 mg orally every 4 hours, five times a day for 7-10 days.', 'Genital herpes (suppression): 400 mg orally twice a day.', 'Chickenpox: 800 mg orally five times a day for 7 days.', 'Shingles: 800 mg orally five times a day for 7-10 days.']}, 'It is crucial to consult with a physician or pharmacist for appropriate dosing instructions as dosage adjustments may be necessary based on individual patient characteristics. Never self-medicate or adjust the dosage without consulting a healthcare professional.']"
Acyclovir Cream,"['Treatment of recurrent herpes labialis (cold sores) in immunocompetent adults.', 'Treatment of initial genital herpes simplex virus infections.', 'Treatment of recurrent episodes of genital herpes simplex virus infections.']","['Local skin reactions at the site of application:', '  - Burning', '  - Stinging', '  - Itching', '  - Dryness', '  - Flaking', '  - Redness', '  - Edema', 'In rare cases:', '  - Allergic contact dermatitis']","['While systemic absorption of acyclovir cream is minimal, caution should be exercised when using with other topical medications applied to the same area, especially those that can cause drying or irritation. Probenecid may decrease the renal clearance of systemically absorbed acyclovir, although this is unlikely to be clinically significant with topical application.']","Apply a sufficient quantity to cover all lesions every 3 hours, 6 times per day for 7 days.  Treatment should be initiated at the earliest sign or symptom (e.g., tingling, burning, redness) of recurrence.  If no lesion appears, treatment may be continued for up to 10 days."
Acyclovir and Hydrocortisone,"Acyclovir and Hydrocortisone is a combination medication typically used for the treatment of herpes simplex labialis (cold sores) in individuals with eczema or other skin conditions where the use of topical corticosteroids is appropriate.  The acyclovir component targets the herpes simplex virus, while the hydrocortisone, a corticosteroid, helps reduce inflammation and itching associated with the eczema or skin irritation.","['Regarding Acyclovir:  Application site reactions (burning, stinging, itching, dryness), headache, nausea, vomiting (less common with topical application).', 'Regarding Hydrocortisone (topical): Skin thinning, discoloration, acne, increased hair growth, burning, itching, dryness, irritation.  With prolonged or high-dose use, systemic side effects of corticosteroids (e.g., adrenal suppression, hyperglycemia) are possible but less likely with topical application.', ""It's important to note that side effects can vary depending on the specific formulation (cream, ointment) and the concentration of each ingredient.""]","['Acyclovir topical:  Few clinically significant drug interactions.  Probenecid can decrease the renal clearance of acyclovir.', 'Hydrocortisone topical:  Interactions are generally minimal with topical use. However, concomitant use with other topical medications on the same area can sometimes lead to irritation or altered absorption.']","The dosage of Acyclovir and Hydrocortisone combination creams varies depending on the specific product and the severity of the condition.  It's crucial to follow the instructions provided by the prescribing physician or the product labeling.  Typically, a thin layer is applied to the affected area 5 times a day for a specified duration.  Overuse of topical corticosteroids can lead to adverse effects, so it's important not to exceed the recommended dosage and duration of treatment."
Acyclovir and hydrocortisone topical,Acyclovir and hydrocortisone topical is indicated for the treatment of recurrent herpes labialis (cold sores) in immunocompetent adults. It combines the antiviral activity of acyclovir with the anti-inflammatory effects of hydrocortisone to reduce the duration of symptoms and healing time.,"Common side effects of acyclovir and hydrocortisone topical may include: 
- Application site reactions (e.g., burning, stinging, dryness, itching, redness)
- Temporary changes in skin color
- Chapped lips
- Less common side effects can include allergic contact dermatitis.  
- Although rare, systemic absorption of topical corticosteroids can lead to more serious side effects, especially with prolonged or widespread use. These can include adrenal suppression, Cushing's syndrome, hyperglycemia, and glaucoma.","While specific drug interactions for topical acyclovir and hydrocortisone are limited due to minimal systemic absorption, it is always important to inform your doctor about all other medications you are taking, including prescription and over-the-counter drugs, as well as herbal supplements.  Concomitant use of other topical medications on the same area should be discussed with your doctor or pharmacist to avoid potential interactions or irritation.","Apply a thin layer of acyclovir and hydrocortisone cream to the affected area five times a day for 5 days. Start treatment at the earliest sign or symptom of recurrence (e.g., tingling, redness, itching, or bump). Do not use for more than 5 days unless directed by a physician. "
Acyclovir and hydrocortisone Topical application,"Acyclovir and hydrocortisone topical is indicated for the treatment of recurrent herpes labialis (cold sores) in immunocompetent adults. The hydrocortisone component helps to relieve the inflammatory symptoms associated with cold sores, such as pain, itching, and swelling.","Common side effects of acyclovir and hydrocortisone topical application may include: 
- Application site reactions (e.g., burning, stinging, dryness, itching, redness)
- Temporary changes in skin color
- Acne
- Skin thinning or discoloration
- Secondary infection

Less common but potentially serious side effects can include allergic reactions.  Seek medical attention if you experience signs of an allergic reaction, such as difficulty breathing, swelling of the face, lips, tongue, or throat, or hives.","While systemic absorption of acyclovir and hydrocortisone from topical application is minimal, it's always important to inform your doctor about all other medications you are taking, including prescription and over-the-counter drugs, as well as herbal supplements.  There are no well-documented specific drug interactions with topical acyclovir and hydrocortisone. However, concomitant use of other topical medications on the same area should be discussed with a physician or pharmacist to avoid potential interactions or irritation.","Apply a thin layer of acyclovir and hydrocortisone cream to the affected area five times a day for 4 days. Start treatment at the earliest sign or symptom of a recurrence (e.g., tingling, redness, itching, or bump).  Do not use for more than 4 days unless directed by a healthcare professional.  It is important to follow the instructions provided by your doctor or pharmacist carefully."
Acyclovir injection,"['Treatment of initial and recurrent mucosal and cutaneous Herpes Simplex virus (HSV-1 and HSV-2) infections in immunocompromised adults and children.', 'Treatment of severe initial clinical episodes of genital herpes in immunocompetent adults.', 'Treatment of HSV encephalitis in adults and children.', 'Treatment of varicella-zoster virus (VZV) infections, including chickenpox and shingles, in immunocompromised adults and children.', 'Prophylaxis of HSV infections in immunocompromised patients.', 'Acute retinal necrosis caused by HSV or VZV.']","['Inflammation or phlebitis at the injection site', 'Nausea and vomiting', 'Diarrhea', 'Headache', 'Dizziness', 'Elevated liver enzymes', 'Elevated creatinine levels', 'Rash', 'Hematuria', 'Neurological side effects (e.g., tremors, seizures, hallucinations, coma) - particularly with rapid or high-dose intravenous administration', 'Nephrotoxicity (kidney damage), especially with rapid infusion or inadequate hydration']","['Probenecid: May increase acyclovir blood levels.', 'Zidovudine: May cause increased neurotoxicity when used concurrently with acyclovir.', 'Other nephrotoxic drugs (e.g., aminoglycosides, amphotericin B): May increase the risk of kidney damage when used with acyclovir.', 'Interferon: May increase the risk of neurotoxicity when used with acyclovir.', 'Mycophenolate mofetil:  May decrease the effectiveness of mycophenolate mofetil.']","[""Dosage varies depending on the indication, patient's age, weight, renal function, and the severity of the infection.  It is crucial to consult specific clinical guidelines and resources like the package insert for precise dosing information.  Here are some general examples:"", 'HSV infections: 5 mg/kg every 8 hours for 7-10 days.', 'VZV infections: 10 mg/kg every 8 hours for 7-10 days.', 'HSV encephalitis: 10 mg/kg every 8 hours for 10-14 days.', ""Prophylaxis: Dosage varies depending on the patient's immune status and risk factors.""]"
Acyclovir IV Infusion,"['Treatment of initial and recurrent mucosal and cutaneous Herpes Simplex Virus (HSV-1 and HSV-2) infections in immunocompromised patients.', 'Treatment of severe initial clinical episodes of genital herpes in immunocompetent patients.', 'Treatment of HSV encephalitis.', 'Treatment of neonatal HSV infections.', 'Prophylaxis of HSV in immunocompromised patients.', 'Treatment of Varicella-Zoster Virus (VZV) infections, including chickenpox and shingles, in immunocompromised patients.']","['Inflammation or phlebitis at the infusion site', 'Nausea and vomiting', 'Diarrhea', 'Headache', 'Dizziness', 'Elevated liver enzymes', 'Elevated creatinine', 'Rash', 'Neurological effects (e.g., tremors, delirium, hallucinations, seizures) - more common with rapid or high-dose infusions', 'Nephrotoxicity (especially with rapid infusion or inadequate hydration)']","['Probenecid: Increases acyclovir blood levels by decreasing renal clearance.', 'Zidovudine: May cause increased neurotoxicity when used concurrently with acyclovir.', 'Other nephrotoxic drugs (e.g., aminoglycosides, amphotericin B): Increased risk of nephrotoxicity when used in combination with acyclovir.', 'Interferon: May enhance the antiviral effects of acyclovir, but also increase the risk of neurotoxicity.', 'Mycophenolate mofetil:  Decreased mycophenolate mofetil levels have been reported with concomitant acyclovir administration.']","[{'Indication': 'HSV Infections (Adults)', 'Dosage': '5 mg/kg IV every 8 hours for 5-10 days'}, {'Indication': 'HSV Encephalitis (Adults)', 'Dosage': '10 mg/kg IV every 8 hours for 10-14 days'}, {'Indication': 'Varicella-Zoster Infections (Adults)', 'Dosage': '10 mg/kg IV every 8 hours for 7-10 days'}, {'Indication': 'HSV Infections (Neonates)', 'Dosage': '10 mg/kg IV every 8 hours for 10-21 days'}, {'Indication': 'Prophylaxis (Adults)', 'Dosage': 'Varies depending on indication and immune status; consult guidelines'}, 'Note: Dosage adjustments are necessary for patients with renal impairment.']"
Acyclovir Ointment,Acyclovir ointment 5% is indicated for the management of initial genital herpes simplex virus infections and in limited non-life-threatening mucocutaneous Herpes simplex virus infections in immunocompromised patients. It is also indicated for the treatment of recurrent herpes labialis (cold sores).,"Common side effects of acyclovir ointment may include: 
- Temporary burning, stinging, or itching upon application
- Dryness or flaking of the skin
Less common side effects:
- Edema
- Erythema
- Skin rash
- Pruritus
Patients should stop using the ointment and contact their doctor if they experience severe or persistent side effects.","Acyclovir ointment has minimal systemic absorption, so clinically significant drug interactions are rare.  However, it is important to inform your doctor about all other medications you are using, including prescription and over-the-counter drugs, as well as herbal supplements.","For herpes labialis (cold sores): Apply to affected area 5 times daily for 4 days.  Start treatment at the earliest sign or symptom (e.g., tingling, itching, burning). For genital herpes simplex: Apply to affected area every 3 hours, 6 times per day for 7 days.  For immunocompromised patients with mucocutaneous Herpes simplex virus infections: Apply to affected area every 3 hours, 6 times per day for 7 days. It's important to follow your doctor's instructions and complete the full course of treatment, even if symptoms improve."
Acyclovir Ophthalmic,"['Treatment of acute herpetic keratitis (dendritic ulcers) caused by herpes simplex virus types 1 and 2.', 'Treatment of herpes zoster ophthalmicus.']","['Ocular side effects:', '  - Mild pain, burning, or stinging upon instillation', '  - Superficial punctate keratitis', '  - Conjunctivitis', '  - Blepharitis', '  - Superficial punctate keratopathy', '  - Corneal edema', '  - Foreign body sensation', 'Systemic side effects (rare):', '  - Headache', '  - Nausea', '  - Dizziness', '  - Skin rash']","['Although systemic absorption is minimal following ophthalmic administration, caution should be exercised when using acyclovir ophthalmic with other nephrotoxic drugs.  No significant drug interactions have been specifically identified with acyclovir ophthalmic.']","['For herpetic keratitis:', '  - Apply a 1 cm ribbon of ointment into the lower conjunctival sac five times daily (approximately every 3 hours) until the corneal ulcer heals.  Then apply ointment three times daily for 7 days.', 'For herpes zoster ophthalmicus:', '  - Apply a 1 cm ribbon of ointment into the lower conjunctival sac five times daily (approximately every 3 hours).']"
"Acyclovir Oral, Intravenous","['Treatment of initial and recurrent mucosal and cutaneous Herpes Simplex Virus (HSV-1 and HSV-2) infections in immunocompromised and immunocompetent patients.', 'Treatment of varicella-zoster virus (VZV) infections (chickenpox and shingles).', 'Prophylaxis of HSV infections in immunocompromised patients.', 'Treatment of herpes simplex encephalitis.', 'Treatment of neonatal herpes simplex virus infections.']","{'Oral': ['Nausea', 'Vomiting', 'Diarrhea', 'Headache', 'Dizziness', 'Fatigue', 'Rash', 'Pruritus'], 'Intravenous': ['Inflammation or phlebitis at the injection site', 'Nausea', 'Vomiting', 'Diarrhea', 'Headache', 'Dizziness', 'Elevated creatinine and BUN (indicating potential kidney problems)', 'Neurotoxicity (more common with rapid or high doses, especially in patients with renal impairment), which can manifest as tremors, delirium, hallucinations, seizures, and coma', 'Rash', 'Hematuria (blood in the urine)', 'Crystalluria (crystals in the urine)']}","['Probenecid: Can increase acyclovir blood levels.', 'Zidovudine: May cause increased drowsiness and lethargy when used with acyclovir.', 'Mycophenolate mofetil: May decrease the effectiveness of mycophenolate mofetil.', 'Nephrotoxic drugs (e.g., aminoglycosides, amphotericin B): Increased risk of kidney damage when used with intravenous acyclovir.']","{'Oral': {'Herpes Simplex (Genital):': '200-800 mg two to five times daily for 5-10 days.  Suppressive therapy: 400 mg twice daily.', 'Chickenpox': '800 mg five times daily for 7-10 days.', 'Shingles': '800 mg five times daily for 7-10 days.'}, 'Intravenous': {'Herpes Simplex': '5-10 mg/kg every 8 hours for 5-10 days or longer depending on the severity of the infection.', 'Varicella-Zoster': '10 mg/kg every 8 hours for 7-10 days.', 'Herpes Simplex Encephalitis': '10 mg/kg every 8 hours for 10-14 days.'}, 'Note': 'Dosage should be adjusted for patients with renal impairment.  Consult appropriate resources for precise dosing recommendations based on specific indications and patient characteristics. This information is not a substitute for professional medical advice.'}"
Acyclovir Oral Suspension,"['Treatment of initial and recurrent mucosal and cutaneous Herpes Simplex Virus (HSV-1 and HSV-2) infections in immunocompromised patients.', 'Treatment of varicella-zoster virus infections (chickenpox) in immunocompromised patients.', 'Prophylaxis of HSV infections in immunocompromised patients.', 'Treatment of acute herpes zoster (shingles) in immunocompromised patients.']","['Nausea', 'Vomiting', 'Diarrhea', 'Headache', 'Dizziness', 'Fatigue', 'Skin rash', 'Hair loss', 'Increased liver enzymes', 'Elevated creatinine', 'Hallucinations', 'Confusion', 'Seizures', 'Tremors', 'Encephalopathy (rare)', 'Hematuria (rare)', 'Crystalluria (rare)']","[{'drug': 'Probenecid', 'interaction': 'May increase acyclovir blood levels.'}, {'drug': 'Zidovudine', 'interaction': 'May cause increased neurotoxicity.'}, {'drug': 'Nephrotoxic drugs (e.g., aminoglycosides, amphotericin B)', 'interaction': 'May increase the risk of renal toxicity.'}, {'drug': 'Immunosuppressants (e.g., cyclosporine, tacrolimus)', 'interaction': 'May increase the risk of nephrotoxicity.'}]","Dosage of acyclovir oral suspension varies depending on the indication, patient's age, weight, and renal function.  It's crucial to consult a healthcare professional for appropriate dosing.  General guidelines include:

* **For HSV infections in adults and children:** The dose is typically 200mg five times a day for 7-10 days.  
* **For chickenpox in children:** The dose is typically 20mg/kg (maximum 800mg per dose) four times a day for 5 days.
* **For shingles in adults:** The dose is typically 800mg five times a day for 7-10 days.
* **For prophylaxis of HSV infections:**  The dose and frequency vary depending on the patient's immune status and risk factors.  

It is important to note that these are general guidelines, and the exact dosage should be determined by a physician."
Acyclovir Sodium,"['Treatment of initial and recurrent mucosal and cutaneous Herpes Simplex virus (HSV-1 and HSV-2) infections in immunocompromised and immunocompetent patients.', 'Treatment of varicella-zoster virus (VZV) infections (chickenpox and shingles).', 'Prophylaxis of HSV infections in immunocompromised patients.', 'Treatment of Herpes Simplex encephalitis.', 'Treatment of neonatal Herpes Simplex infections.']","['Local reactions at the injection site (e.g., inflammation, phlebitis)', 'Nausea and vomiting', 'Diarrhea', 'Headache', 'Dizziness', 'Fatigue', 'Rash', 'Pruritus', 'Hives', 'Elevated liver enzymes', 'Elevated creatinine', 'Neurotoxicity (more common with rapid or high-dose intravenous administration, particularly in patients with renal impairment), which can manifest as tremors, delirium, seizures, hallucinations, coma', 'Crystalluria (especially with rapid intravenous infusion and inadequate hydration)']","['Probenecid: Increases acyclovir blood levels by decreasing renal clearance.', 'Zidovudine: May cause increased neurotoxicity when used concurrently with acyclovir.', 'Other nephrotoxic drugs: May increase the risk of renal toxicity when used with acyclovir.', 'Interferon: May have additive antiviral effects but also increase the risk of neurotoxicity.', 'Immunosuppressants (e.g., cyclosporine, tacrolimus): May increase the risk of nephrotoxicity.']","[{'Indication': 'Herpes Simplex infections (adults)', 'Route': 'Intravenous', 'Dosage': '5 mg/kg every 8 hours for 5-7 days or longer for severe infections'}, {'Indication': 'Varicella-zoster infections (adults)', 'Route': 'Intravenous', 'Dosage': '10 mg/kg every 8 hours for 7 days'}, {'Indication': 'Herpes Simplex encephalitis (adults)', 'Route': 'Intravenous', 'Dosage': '10 mg/kg every 8 hours for 10 days'}, {'Indication': 'Herpes Simplex infections (children)', 'Route': 'Intravenous', 'Dosage': '250-500 mg/m² every 8 hours'}, {'Indication': 'Varicella-zoster infections (children)', 'Route': 'Intravenous', 'Dosage': '500 mg/m² every 8 hours'}, {'Indication': 'Note:', 'Route': '', 'Dosage': 'Dosage adjustments are required for patients with renal impairment.'}]"
Acyclovir Suspension,"['Treatment of initial and recurrent mucosal and cutaneous herpes simplex virus (HSV-1 and HSV-2) infections in immunocompromised patients.', 'Treatment of varicella-zoster virus (VZV) infections (chickenpox) in immunocompromised patients.', 'Treatment of acute herpes zoster (shingles) infections in immunocompromised patients.', 'Prophylaxis of HSV infections in immunocompromised patients.', 'Treatment of severe HSV infections in neonates.']","['Nausea', 'Vomiting', 'Diarrhea', 'Headache', 'Dizziness', 'Fatigue', 'Rash', 'Pruritus', 'Injection site reactions (pain, inflammation, phlebitis)', 'Elevated liver enzymes', 'Elevated creatinine', 'Hematuria', 'Crystalluria (with high doses of intravenous acyclovir)', 'Neurotoxicity (with high doses of intravenous acyclovir, especially in patients with renal impairment), including agitation, hallucinations, seizures, and coma.']","['Probenecid: May increase acyclovir blood levels.', 'Zidovudine: May cause increased drowsiness and lethargy.', 'Interferon: May enhance the antiviral effects of acyclovir.', 'Nephrotoxic drugs: May increase the risk of renal toxicity when used with acyclovir, especially at high doses.']","[{'Indication': 'Treatment of HSV infections in adults', 'Dosage': '200 mg five times daily for 7-10 days.'}, {'Indication': 'Treatment of varicella-zoster infections in adults', 'Dosage': '800 mg five times daily for 7 days.'}, {'Indication': 'Treatment of HSV infections in children', 'Dosage': '20 mg/kg/dose (up to 800 mg/dose) four times daily for 5-10 days.'}, {'Indication': 'Treatment of varicella-zoster infections in children', 'Dosage': '20 mg/kg/dose (up to 800 mg/dose) four times daily for 7 days.'}, {'Indication': 'Prophylaxis of HSV infections', 'Dosage': '200-400 mg two to four times daily.'}]"
Acyclovir (Systemic),"['Treatment of initial and recurrent mucosal and cutaneous Herpes Simplex Virus (HSV-1 and HSV-2) infections in immunocompromised and immunocompetent patients.', 'Treatment of initial and recurrent genital herpes.', 'Treatment of herpes zoster (shingles).', 'Treatment of varicella (chickenpox).', 'Prophylaxis of HSV infections in immunocompromised patients.', 'Acute retinal necrosis caused by HSV.', 'Herpes simplex encephalitis.', 'Neonatal herpes simplex.']","['Common side effects:', {'Gastrointestinal': ['Nausea', 'Vomiting', 'Diarrhea'], 'Central Nervous System': ['Headache', 'Dizziness'], 'Local reactions at injection site': ['Pain', 'Inflammation', 'Phlebitis']}, 'Less common but potentially serious side effects:', {'Neurological': ['Seizures', 'Encephalopathy', 'Coma'], 'Renal': ['Acute renal failure (especially with rapid intravenous infusion)', 'Elevated creatinine'], 'Hematologic': ['Thrombocytopenia', 'Leukopenia', 'Anemia'], 'Hepatic': ['Elevated liver enzymes'], 'Hypersensitivity reactions': ['Rash', 'Anaphylaxis']}]","['Probenecid:  May increase acyclovir blood levels.', 'Zidovudine:  May cause increased drowsiness and lethargy.', 'Interferon: May enhance the antiviral effects of acyclovir.', 'Nephrotoxic drugs:  May increase the risk of renal toxicity when used concurrently with acyclovir, especially with intravenous administration.', 'Immunosuppressants: May increase the risk of bone marrow suppression.']","['Dosage varies depending on the indication, patient age, renal function, and the severity of the infection.', 'It is crucial to consult specific clinical guidelines or a healthcare professional for appropriate dosing recommendations.', 'Examples (note: these are not exhaustive and should not be used for self-treatment):', {'Genital herpes (initial episode):': '200 mg orally five times a day for 7-10 days', 'Herpes zoster (shingles):': '800 mg orally five times a day for 7-10 days', 'Chickenpox (varicella):': '800 mg orally four times a day for 5 days', 'Intravenous administration': 'Is reserved for severe infections and requires careful dosage adjustment based on renal function.'}]"
